Date,Time,Temp
02-09-2024,09:58:00,5.86
02-09-2024,09:59:00,5.93
02-09-2024,10:00:00,6.03
02-09-2024,10:01:00,6.02
02-09-2024,10:02:00,6.08
02-09-2024,10:03:00,6.0
02-09-2024,10:04:00,5.67
02-09-2024,10:05:00,6.04
02-09-2024,10:06:00,5.95
02-09-2024,10:07:00,5.9
02-09-2024,10:08:00,6.08
02-09-2024,10:09:00,5.92
02-09-2024,10:10:00,5.87
02-09-2024,10:11:00,5.89
02-09-2024,10:12:00,5.84
02-09-2024,10:13:00,5.77
02-09-2024,10:14:00,5.79
02-09-2024,10:15:00,5.75
02-09-2024,10:16:00,5.63
02-09-2024,10:17:00,5.7
02-09-2024,10:18:00,5.7
02-09-2024,10:19:00,5.8
02-09-2024,10:20:00,5.74
02-09-2024,10:21:00,5.73
02-09-2024,10:22:00,5.82
02-09-2024,10:23:00,5.65
02-09-2024,10:23:00,5.65
02-09-2024,10:24:00,5.52
02-09-2024,10:25:00,5.58
02-09-2024,10:26:00,5.51
02-09-2024,10:27:00,5.65
02-09-2024,10:28:00,5.62
02-09-2024,10:29:00,5.56
02-09-2024,10:30:00,5.55
02-09-2024,10:31:00,5.64
02-09-2024,10:32:00,5.53
02-09-2024,10:33:00,5.52
02-09-2024,10:34:00,5.51
02-09-2024,10:35:00,5.45
02-09-2024,10:36:00,5.46
02-09-2024,10:37:00,5.62
02-09-2024,10:38:00,5.26
02-09-2024,10:39:00,5.51
02-09-2024,10:40:00,5.43
02-09-2024,10:41:00,5.33
02-09-2024,10:42:00,5.27
02-09-2024,10:43:00,5.37
02-09-2024,10:43:00,5.37
02-09-2024,10:44:00,5.26
02-09-2024,10:45:00,5.53
02-09-2024,10:46:00,5.34
02-09-2024,10:47:00,5.49
02-09-2024,10:48:00,5.45
02-09-2024,10:49:00,5.21
02-09-2024,10:50:00,5.25
02-09-2024,10:51:00,5.13
02-09-2024,10:52:00,5.51
02-09-2024,10:53:00,5.36
02-09-2024,10:54:00,5.29
02-09-2024,10:55:00,5.13
02-09-2024,10:56:00,5.11
02-09-2024,10:57:00,5.14
02-09-2024,10:58:00,5.15
02-09-2024,10:59:00,5.21
02-09-2024,11:00:00,5.07
02-09-2024,11:01:00,5.05
02-09-2024,11:02:00,5.13
02-09-2024,11:03:00,5.19
02-09-2024,11:04:00,5.04
02-09-2024,11:05:00,5.17
02-09-2024,11:06:00,4.84
02-09-2024,11:07:00,5.14
02-09-2024,11:08:00,5.01
02-09-2024,11:09:00,4.96
02-09-2024,11:10:00,5.05
02-09-2024,11:11:00,4.98
02-09-2024,11:12:00,5.2
02-09-2024,11:13:00,5.05
02-09-2024,11:14:00,4.89
02-09-2024,11:15:00,5.1
02-09-2024,11:16:00,5.12
02-09-2024,11:17:00,5.0
02-09-2024,11:18:00,4.91
02-09-2024,11:19:00,4.78
02-09-2024,11:20:00,5.11
02-09-2024,11:21:00,4.97
02-09-2024,11:22:00,5.07
02-09-2024,11:23:00,5.22
02-09-2024,11:24:00,4.98
02-09-2024,11:25:00,5.06
02-09-2024,11:26:00,4.98
02-09-2024,11:27:00,4.98
02-09-2024,11:28:00,5.13
02-09-2024,11:29:00,4.95
02-09-2024,11:30:00,4.95
02-09-2024,11:31:00,5.0
02-09-2024,11:32:00,5.0
02-09-2024,11:33:00,5.2
02-09-2024,11:34:00,4.96
02-09-2024,11:35:00,4.98
02-09-2024,11:36:00,5.08
02-09-2024,11:37:00,5.04
02-09-2024,11:38:00,5.0
02-09-2024,11:39:00,5.08
02-09-2024,11:40:00,4.89
02-09-2024,11:41:00,5.1
02-09-2024,11:42:00,5.09
02-09-2024,11:43:00,5.16
02-09-2024,11:44:00,5.35
02-09-2024,11:45:00,5.3
02-09-2024,11:46:00,5.09
02-09-2024,11:47:00,5.19
02-09-2024,11:48:00,5.15
02-09-2024,11:49:00,5.08
02-09-2024,11:50:00,5.21
02-09-2024,11:51:00,5.16
02-09-2024,11:51:00,5.16
02-09-2024,11:52:00,5.19
02-09-2024,11:53:00,5.1
02-09-2024,11:54:00,5.31
02-09-2024,11:55:00,5.22
02-09-2024,11:56:00,5.39
02-09-2024,11:57:00,5.12
02-09-2024,11:57:00,5.12
02-09-2024,11:58:00,5.46
02-09-2024,11:59:00,5.16
02-09-2024,12:00:00,5.22
02-09-2024,12:01:00,5.42
02-09-2024,12:02:00,5.48
02-09-2024,12:03:00,5.23
02-09-2024,12:04:00,5.63
02-09-2024,12:05:00,5.43
02-09-2024,12:06:00,5.36
02-09-2024,12:07:00,5.54
02-09-2024,12:08:00,5.51
02-09-2024,12:09:00,5.56
02-09-2024,12:10:00,5.46
02-09-2024,12:11:00,5.53
02-09-2024,12:12:00,5.63
02-09-2024,12:13:00,5.49
02-09-2024,12:14:00,5.56
02-09-2024,12:15:00,5.68
02-09-2024,12:16:00,5.7
02-09-2024,12:17:00,5.74
02-09-2024,12:18:00,5.58
02-09-2024,12:19:00,5.7
02-09-2024,12:20:00,5.66
02-09-2024,12:20:00,5.66
02-09-2024,12:21:00,13.72
02-09-2024,12:22:00,13.71
02-09-2024,12:23:00,14.77
02-09-2024,12:24:00,16.07
02-09-2024,12:25:00,13.99
02-09-2024,12:26:00,12.84
02-09-2024,12:27:00,12.53
02-09-2024,12:28:00,12.79
02-09-2024,12:29:00,17.53
02-09-2024,12:30:00,14.49
02-09-2024,12:31:00,15.97
02-09-2024,12:32:00,12.14
02-09-2024,12:33:00,15.81
02-09-2024,12:34:00,17.28
02-09-2024,12:35:00,15.12
02-09-2024,12:36:00,16.84
02-09-2024,12:37:00,15.56
02-09-2024,12:38:00,15.53
02-09-2024,12:39:00,12.47
02-09-2024,12:40:00,14.47
02-09-2024,12:41:00,13.39
02-09-2024,12:42:00,15.55
02-09-2024,12:43:00,15.82
02-09-2024,12:44:00,13.86
02-09-2024,12:45:00,17.63
02-09-2024,12:46:00,12.78
02-09-2024,12:47:00,17.6
02-09-2024,12:48:00,12.0
02-09-2024,12:49:00,16.05
02-09-2024,12:50:00,18.14
02-09-2024,12:51:00,15.92
02-09-2024,12:52:00,18.16
02-09-2024,12:52:00,18.16
02-09-2024,12:53:00,13.63
02-09-2024,12:54:00,13.48
02-09-2024,12:55:00,14.96
02-09-2024,12:56:00,12.75
02-09-2024,12:57:00,13.85
02-09-2024,12:58:00,17.45
02-09-2024,12:59:00,16.4
02-09-2024,13:00:00,14.68
02-09-2024,13:01:00,16.89
02-09-2024,13:02:00,17.84
02-09-2024,13:03:00,14.48
02-09-2024,13:04:00,14.05
02-09-2024,13:05:00,12.63
02-09-2024,13:06:00,14.29
02-09-2024,13:06:00,14.29
02-09-2024,13:07:00,15.63
02-09-2024,13:08:00,14.29
02-09-2024,13:09:00,16.39
02-09-2024,13:10:00,13.69
02-09-2024,13:11:00,13.7
02-09-2024,13:12:00,16.91
02-09-2024,13:13:00,16.78
02-09-2024,13:14:00,14.81
02-09-2024,13:15:00,14.62
02-09-2024,13:16:00,13.01
02-09-2024,13:17:00,14.14
02-09-2024,13:18:00,13.91
02-09-2024,13:19:00,16.76
02-09-2024,13:20:00,14.24
02-09-2024,13:21:00,15.47
02-09-2024,13:22:00,13.57
02-09-2024,13:23:00,18.01
02-09-2024,13:24:00,12.48
02-09-2024,13:25:00,12.59
02-09-2024,13:26:00,16.35
02-09-2024,13:27:00,17.94
02-09-2024,13:28:00,14.13
02-09-2024,13:29:00,12.41
02-09-2024,13:30:00,16.76
02-09-2024,13:31:00,13.17
02-09-2024,13:32:00,15.15
02-09-2024,13:32:00,15.15
02-09-2024,13:33:00,15.82
02-09-2024,13:33:00,15.82
02-09-2024,13:34:00,15.51
02-09-2024,13:35:00,13.22
02-09-2024,13:36:00,14.38
02-09-2024,13:37:00,14.71
02-09-2024,13:38:00,14.71
02-09-2024,13:39:00,16.97
02-09-2024,13:40:00,14.79
02-09-2024,13:41:00,16.05
02-09-2024,13:42:00,13.33
02-09-2024,13:43:00,13.05
02-09-2024,13:44:00,13.42
02-09-2024,13:45:00,16.56
02-09-2024,13:46:00,14.83
02-09-2024,13:47:00,13.49
02-09-2024,13:48:00,15.55
02-09-2024,13:49:00,12.66
02-09-2024,13:49:00,12.66
02-09-2024,13:50:00,12.57
02-09-2024,13:51:00,17.92
02-09-2024,13:52:00,16.61
02-09-2024,13:53:00,16.56
02-09-2024,13:54:00,12.76
02-09-2024,13:55:00,15.59
02-09-2024,13:56:00,13.65
02-09-2024,13:57:00,16.92
02-09-2024,13:58:00,13.63
02-09-2024,13:59:00,13.81
02-09-2024,14:00:00,15.98
02-09-2024,14:01:00,12.51
02-09-2024,14:02:00,14.7
02-09-2024,14:03:00,13.48
02-09-2024,14:04:00,16.01
02-09-2024,14:05:00,15.79
02-09-2024,14:06:00,14.72
02-09-2024,14:07:00,13.95
02-09-2024,14:08:00,13.6
02-09-2024,14:09:00,14.23
02-09-2024,14:10:00,16.97
02-09-2024,14:11:00,17.53
02-09-2024,14:12:00,12.13
02-09-2024,14:13:00,17.34
02-09-2024,14:14:00,13.1
02-09-2024,14:15:00,14.62
02-09-2024,14:16:00,14.04
02-09-2024,14:17:00,15.42
02-09-2024,14:18:00,17.78
02-09-2024,14:19:00,14.28
02-09-2024,14:20:00,12.08
02-09-2024,14:21:00,17.08
02-09-2024,14:22:00,14.18
02-09-2024,14:23:00,14.03
02-09-2024,14:24:00,14.77
02-09-2024,14:25:00,17.49
02-09-2024,14:26:00,17.21
02-09-2024,14:26:00,17.21
02-09-2024,14:27:00,13.04
02-09-2024,14:27:00,13.04
02-09-2024,14:28:00,13.81
02-09-2024,14:29:00,15.28
02-09-2024,14:30:00,16.19
02-09-2024,14:31:00,12.25
02-09-2024,14:32:00,12.4
02-09-2024,14:33:00,14.79
02-09-2024,14:34:00,12.72
02-09-2024,14:35:00,17.53
02-09-2024,14:36:00,13.58
02-09-2024,14:36:00,13.58
02-09-2024,14:37:00,13.94
02-09-2024,14:38:00,17.79
02-09-2024,14:39:00,17.1
02-09-2024,14:40:00,17.44
02-09-2024,14:41:00,15.41
02-09-2024,14:42:00,14.55
02-09-2024,14:43:00,16.79
02-09-2024,14:44:00,17.48
02-09-2024,14:45:00,14.57
02-09-2024,14:46:00,15.43
02-09-2024,14:47:00,14.12
02-09-2024,14:48:00,16.39
02-09-2024,14:49:00,15.53
02-09-2024,14:50:00,5.17
02-09-2024,14:51:00,4.96
02-09-2024,14:52:00,5.27
02-09-2024,14:53:00,5.11
02-09-2024,14:54:00,5.08
02-09-2024,14:55:00,5.12
02-09-2024,14:56:00,5.1
02-09-2024,14:57:00,5.26
02-09-2024,14:58:00,5.17
02-09-2024,14:59:00,5.31
02-09-2024,15:00:00,5.29
02-09-2024,15:01:00,5.0
02-09-2024,15:02:00,5.25
02-09-2024,15:02:00,5.25
02-09-2024,15:03:00,5.32
02-09-2024,15:04:00,5.5
02-09-2024,15:05:00,5.26
02-09-2024,15:06:00,5.35
02-09-2024,15:07:00,5.29
02-09-2024,15:08:00,5.5
02-09-2024,15:09:00,5.41
02-09-2024,15:10:00,5.49
02-09-2024,15:11:00,5.37
02-09-2024,15:12:00,5.32
02-09-2024,15:13:00,5.43
02-09-2024,15:14:00,5.38
02-09-2024,15:15:00,5.61
02-09-2024,15:16:00,5.51
02-09-2024,15:17:00,5.46
02-09-2024,15:18:00,5.56
02-09-2024,15:19:00,5.34
02-09-2024,15:20:00,5.36
02-09-2024,15:21:00,5.42
02-09-2024,15:22:00,5.58
02-09-2024,15:23:00,5.46
02-09-2024,15:24:00,5.74
02-09-2024,15:24:00,5.74
02-09-2024,15:25:00,5.66
02-09-2024,15:26:00,5.65
02-09-2024,15:27:00,5.61
02-09-2024,15:28:00,5.56
02-09-2024,15:28:00,5.56
02-09-2024,15:29:00,5.76
02-09-2024,15:30:00,5.93
02-09-2024,15:31:00,5.74
02-09-2024,15:32:00,5.75
02-09-2024,15:33:00,5.81
02-09-2024,15:34:00,5.7
02-09-2024,15:35:00,5.92
02-09-2024,15:36:00,5.81
02-09-2024,15:37:00,5.83
02-09-2024,15:38:00,5.76
02-09-2024,15:39:00,5.71
02-09-2024,15:40:00,5.63
02-09-2024,15:41:00,5.89
02-09-2024,15:42:00,6.05
02-09-2024,15:43:00,5.83
02-09-2024,15:44:00,5.94
02-09-2024,15:45:00,5.73
02-09-2024,15:46:00,5.82
02-09-2024,15:47:00,5.81
02-09-2024,15:48:00,5.94
02-09-2024,15:49:00,5.86
02-09-2024,15:50:00,5.82
02-09-2024,15:51:00,6.0
02-09-2024,15:52:00,5.98
02-09-2024,15:53:00,6.08
02-09-2024,15:54:00,5.99
02-09-2024,15:55:00,6.05
02-09-2024,15:56:00,5.79
02-09-2024,15:57:00,6.2
02-09-2024,15:58:00,6.04
02-09-2024,15:58:00,6.04
02-09-2024,15:59:00,6.0
02-09-2024,16:00:00,5.84
02-09-2024,16:00:00,5.84
02-09-2024,16:01:00,6.01
02-09-2024,16:02:00,6.13
02-09-2024,16:03:00,5.98
02-09-2024,16:04:00,5.85
02-09-2024,16:05:00,6.24
02-09-2024,16:06:00,6.12
02-09-2024,16:07:00,6.1
02-09-2024,16:08:00,5.93
02-09-2024,16:09:00,5.85
02-09-2024,16:10:00,5.89
02-09-2024,16:11:00,6.04
02-09-2024,16:12:00,5.85
02-09-2024,16:12:00,5.85
02-09-2024,16:13:00,6.17
02-09-2024,16:14:00,5.98
02-09-2024,16:15:00,5.91
02-09-2024,16:16:00,5.86
02-09-2024,16:17:00,5.88
02-09-2024,16:18:00,5.88
02-09-2024,16:19:00,5.82
02-09-2024,16:20:00,5.9
02-09-2024,16:21:00,5.97
02-09-2024,16:21:00,5.97
02-09-2024,16:22:00,5.89
02-09-2024,16:23:00,5.89
02-09-2024,16:23:00,5.89
02-09-2024,16:24:00,6.01
02-09-2024,16:25:00,5.96
02-09-2024,16:26:00,5.95
02-09-2024,16:27:00,5.91
02-09-2024,16:28:00,5.84
02-09-2024,16:29:00,6.02
02-09-2024,16:30:00,5.65
02-09-2024,16:31:00,5.83
02-09-2024,16:32:00,5.61
02-09-2024,16:33:00,5.89
02-09-2024,16:34:00,5.79
02-09-2024,16:35:00,5.84
02-09-2024,16:36:00,5.58
02-09-2024,16:37:00,5.75
02-09-2024,16:37:00,5.75
02-09-2024,16:38:00,5.85
02-09-2024,16:39:00,5.63
02-09-2024,16:40:00,5.62
02-09-2024,16:41:00,5.76
02-09-2024,16:42:00,5.66
02-09-2024,16:43:00,5.65
02-09-2024,16:43:00,5.65
02-09-2024,16:44:00,5.58
02-09-2024,16:45:00,5.66
02-09-2024,16:46:00,5.42
02-09-2024,16:47:00,5.64
02-09-2024,16:48:00,5.72
02-09-2024,16:49:00,5.58
02-09-2024,16:50:00,5.46
02-09-2024,16:51:00,5.55
02-09-2024,16:52:00,5.44
02-09-2024,16:53:00,5.43
02-09-2024,16:54:00,5.46
02-09-2024,16:55:00,5.49
02-09-2024,16:56:00,5.31
02-09-2024,16:57:00,5.35
02-09-2024,16:58:00,5.17
02-09-2024,16:59:00,5.55
02-09-2024,17:00:00,5.31
02-09-2024,17:00:00,5.31
02-09-2024,17:01:00,5.29
02-09-2024,17:02:00,5.24
02-09-2024,17:03:00,5.29
02-09-2024,17:04:00,5.16
02-09-2024,17:05:00,5.16
02-09-2024,17:06:00,5.2
02-09-2024,17:07:00,5.48
02-09-2024,17:08:00,5.45
02-09-2024,17:09:00,5.32
02-09-2024,17:10:00,5.04
02-09-2024,17:11:00,5.08
02-09-2024,17:12:00,5.13
02-09-2024,17:13:00,5.07
02-09-2024,17:14:00,5.13
02-09-2024,17:15:00,5.09
02-09-2024,17:16:00,5.26
02-09-2024,17:17:00,5.08
02-09-2024,17:18:00,5.28
02-09-2024,17:19:00,5.01
02-09-2024,17:20:00,5.24
02-09-2024,17:21:00,5.21
02-09-2024,17:22:00,5.04
02-09-2024,17:23:00,5.07
02-09-2024,17:24:00,5.18
02-09-2024,17:24:00,5.18
02-09-2024,17:25:00,5.05
02-09-2024,17:26:00,5.04
02-09-2024,17:27:00,5.03
02-09-2024,17:28:00,5.06
02-09-2024,17:29:00,4.96
02-09-2024,17:30:00,5.07
02-09-2024,17:31:00,4.87
02-09-2024,17:32:00,5.06
02-09-2024,17:33:00,5.0
02-09-2024,17:34:00,4.99
02-09-2024,17:35:00,5.01
02-09-2024,17:36:00,5.01
02-09-2024,17:37:00,5.11
02-09-2024,17:38:00,4.95
02-09-2024,17:39:00,5.01
02-09-2024,17:40:00,4.95
02-09-2024,17:41:00,4.82
02-09-2024,17:42:00,5.02
02-09-2024,17:43:00,5.08
02-09-2024,17:44:00,4.99
02-09-2024,17:45:00,4.97
02-09-2024,17:46:00,5.07
02-09-2024,17:47:00,5.08
02-09-2024,17:48:00,5.24
02-09-2024,17:49:00,4.92
02-09-2024,17:50:00,4.99
02-09-2024,17:51:00,5.21
02-09-2024,17:52:00,5.07
02-09-2024,17:53:00,5.01
02-09-2024,17:54:00,4.99
02-09-2024,17:55:00,5.02
02-09-2024,17:56:00,5.22
02-09-2024,17:57:00,5.15
02-09-2024,17:58:00,5.05
02-09-2024,17:59:00,5.0
02-09-2024,18:00:00,5.14
02-09-2024,18:01:00,5.02
02-09-2024,18:02:00,5.11
02-09-2024,18:03:00,5.15
02-09-2024,18:04:00,5.07
02-09-2024,18:05:00,5.19
02-09-2024,18:06:00,5.26
02-09-2024,18:07:00,5.0
02-09-2024,18:08:00,5.33
02-09-2024,18:09:00,5.19
02-09-2024,18:10:00,5.18
02-09-2024,18:11:00,5.23
02-09-2024,18:12:00,5.25
02-09-2024,18:13:00,5.3
02-09-2024,18:14:00,5.42
02-09-2024,18:15:00,5.29
02-09-2024,18:16:00,5.36
02-09-2024,18:17:00,5.49
02-09-2024,18:18:00,5.63
02-09-2024,18:19:00,5.29
02-09-2024,18:19:00,5.29
02-09-2024,18:20:00,5.46
02-09-2024,18:20:00,5.46
02-09-2024,18:21:00,5.48
02-09-2024,18:22:00,5.25
02-09-2024,18:23:00,5.42
02-09-2024,18:24:00,5.31
02-09-2024,18:25:00,5.34
02-09-2024,18:26:00,5.52
02-09-2024,18:27:00,5.52
02-09-2024,18:28:00,5.41
02-09-2024,18:29:00,5.67
02-09-2024,18:30:00,5.39
02-09-2024,18:31:00,5.52
02-09-2024,18:31:00,5.52
02-09-2024,18:32:00,5.55
02-09-2024,18:33:00,5.53
02-09-2024,18:34:00,5.6
02-09-2024,18:35:00,5.54
02-09-2024,18:36:00,5.66
02-09-2024,18:37:00,5.71
02-09-2024,18:38:00,5.71
02-09-2024,18:39:00,5.53
02-09-2024,18:40:00,5.76
02-09-2024,18:41:00,5.69
02-09-2024,18:42:00,5.66
02-09-2024,18:43:00,5.74
02-09-2024,18:44:00,5.86
02-09-2024,18:45:00,5.79
02-09-2024,18:46:00,5.97
02-09-2024,18:46:00,5.97
02-09-2024,18:47:00,5.85
02-09-2024,18:48:00,5.8
02-09-2024,18:49:00,5.8
02-09-2024,18:50:00,5.83
02-09-2024,18:51:00,6.02
02-09-2024,18:52:00,5.8
02-09-2024,18:53:00,5.88
02-09-2024,18:54:00,5.66
02-09-2024,18:55:00,5.88
02-09-2024,18:56:00,5.97
02-09-2024,18:57:00,6.03
02-09-2024,18:58:00,5.95
02-09-2024,18:59:00,5.93
02-09-2024,19:00:00,6.11
02-09-2024,19:01:00,5.91
02-09-2024,19:02:00,5.81
02-09-2024,19:03:00,5.83
02-09-2024,19:04:00,6.02
02-09-2024,19:05:00,6.13
02-09-2024,19:06:00,5.99
02-09-2024,19:07:00,6.02
02-09-2024,19:08:00,6.18
02-09-2024,19:09:00,5.97
02-09-2024,19:10:00,5.99
02-09-2024,19:11:00,5.98
02-09-2024,19:12:00,6.02
02-09-2024,19:13:00,5.99
02-09-2024,19:14:00,5.95
02-09-2024,19:15:00,6.03
02-09-2024,19:16:00,6.0
02-09-2024,19:17:00,6.15
02-09-2024,19:18:00,5.94
02-09-2024,19:18:00,5.94
02-09-2024,19:19:00,6.01
02-09-2024,19:20:00,6.03
02-09-2024,19:21:00,5.92
02-09-2024,19:22:00,5.91
02-09-2024,19:22:00,5.91
02-09-2024,19:23:00,5.94
02-09-2024,19:24:00,6.0
02-09-2024,19:25:00,5.85
02-09-2024,19:26:00,5.85
02-09-2024,19:27:00,5.9
02-09-2024,19:27:00,5.9
02-09-2024,19:28:00,5.96
02-09-2024,19:28:00,5.96
02-09-2024,19:29:00,5.88
02-09-2024,19:30:00,5.93
02-09-2024,19:31:00,5.78
02-09-2024,19:32:00,5.88
02-09-2024,19:33:00,5.85
02-09-2024,19:34:00,6.06
02-09-2024,19:35:00,5.83
02-09-2024,19:36:00,5.98
02-09-2024,19:37:00,5.86
02-09-2024,19:38:00,5.82
02-09-2024,19:39:00,5.76
02-09-2024,19:40:00,5.85
02-09-2024,19:41:00,5.75
02-09-2024,19:42:00,5.72
02-09-2024,19:43:00,5.8
02-09-2024,19:44:00,5.72
02-09-2024,19:45:00,5.61
02-09-2024,19:46:00,5.71
02-09-2024,19:46:00,5.71
02-09-2024,19:47:00,5.73
02-09-2024,19:48:00,5.89
02-09-2024,19:49:00,5.68
02-09-2024,19:50:00,5.54
02-09-2024,19:50:00,5.54
02-09-2024,19:51:00,5.73
02-09-2024,19:52:00,5.68
02-09-2024,19:53:00,5.61
02-09-2024,19:54:00,5.63
02-09-2024,19:55:00,5.62
02-09-2024,19:56:00,5.52
02-09-2024,19:57:00,5.49
02-09-2024,19:58:00,5.46
02-09-2024,19:59:00,5.5
02-09-2024,20:00:00,5.47
02-09-2024,20:01:00,5.35
02-09-2024,20:02:00,5.51
02-09-2024,20:03:00,5.56
02-09-2024,20:04:00,5.47
02-09-2024,20:05:00,5.36
02-09-2024,20:06:00,5.47
02-09-2024,20:07:00,5.33
02-09-2024,20:08:00,5.31
02-09-2024,20:09:00,5.44
02-09-2024,20:09:00,5.44
02-09-2024,20:10:00,5.4
02-09-2024,20:11:00,5.28
02-09-2024,20:12:00,5.34
02-09-2024,20:12:00,5.34
02-09-2024,20:13:00,5.35
02-09-2024,20:14:00,5.28
02-09-2024,20:15:00,5.28
02-09-2024,20:16:00,5.2
02-09-2024,20:17:00,5.38
02-09-2024,20:18:00,5.18
02-09-2024,20:19:00,5.24
02-09-2024,20:20:00,5.27
02-09-2024,20:21:00,5.27
02-09-2024,20:22:00,5.33
02-09-2024,20:23:00,5.19
02-09-2024,20:23:00,5.19
02-09-2024,20:24:00,5.1
02-09-2024,20:25:00,5.26
02-09-2024,20:25:00,5.26
02-09-2024,20:26:00,5.17
02-09-2024,20:27:00,5.07
02-09-2024,20:28:00,5.05
02-09-2024,20:29:00,5.09
02-09-2024,20:30:00,5.0
02-09-2024,20:31:00,5.14
02-09-2024,20:32:00,5.0
02-09-2024,20:33:00,4.99
02-09-2024,20:34:00,4.99
02-09-2024,20:35:00,4.91
02-09-2024,20:36:00,4.98
02-09-2024,20:37:00,4.98
02-09-2024,20:38:00,4.88
02-09-2024,20:39:00,4.99
02-09-2024,20:39:00,4.99
02-09-2024,20:40:00,4.94
02-09-2024,20:41:00,5.22
02-09-2024,20:42:00,4.9
02-09-2024,20:43:00,5.05
02-09-2024,20:44:00,5.03
02-09-2024,20:45:00,5.01
02-09-2024,20:46:00,4.94
02-09-2024,20:47:00,4.91
02-09-2024,20:48:00,4.92
02-09-2024,20:49:00,4.92
02-09-2024,20:50:00,4.98
02-09-2024,20:51:00,5.05
02-09-2024,20:52:00,5.09
02-09-2024,20:53:00,5.13
02-09-2024,20:54:00,5.12
02-09-2024,20:55:00,5.01
02-09-2024,20:56:00,5.05
02-09-2024,20:57:00,5.15
02-09-2024,20:58:00,5.14
02-09-2024,20:59:00,5.11
